,road,county,city,state
614,Enadia Way,Los Angeles County,Los Angeles,California
615,Udall Street,San Diego County,San Diego,California
616,Winthrop Street,San Diego County,San Diego,California
617,West Rose Street,San Joaquin County,Stockton,California
618,Passons Boulevard,Los Angeles County,,California
619,Airport Drive,Los Angeles County,Torrance,California
620,Hawley Boulevard,San Diego County,San Diego,California
621,Overpass Road,Santa Barbara County,,California
622,East Florence Avenue,Los Angeles County,,California
623,Scenic Drive,Stanislaus County,Modesto,California
624,East Beach Avenue,Los Angeles County,Inglewood,California
625,Hayland Street,Los Angeles County,,California
626,Los Angeles Avenue,Alameda County,Berkeley,California
627,Carmel Avenue,Alameda County,,California
628,Tarman Avenue,Alameda County,Hayward,California
629,Water Street,Santa Cruz County,Santa Cruz,California
630,Eddy Street,,San Francisco,California
631,Oxnard Street,Los Angeles County,Los Angeles,California
632,Freeman Road,Sacramento County,Elk Grove,California
633,Boardwalk Drive,San Mateo County,,California
634,Camellia Terrace,Santa Clara County,,California
635,Avenue E,San Bernardino County,,California
636,Duane Street,Los Angeles County,Los Angeles,California
637,Weeks Street,San Mateo County,East Palo Alto,California
638,Valencia Street,,San Francisco,California
639,Caribbean Circle,San Joaquin County,Stockton,California
640,Monte Verde Street,Riverside County,Indio,California
641,Mariner Avenue,Los Angeles County,Torrance,California
642,University Avenue,San Diego County,San Diego,California
643,16th Court,Los Angeles County,Santa Monica,California
644,54th Frontage Street,San Diego County,San Diego,California
645,North Ford Avenue,Orange County,,California
646,Falda Avenue,Los Angeles County,Torrance,California
647,Stonefield Lane,Solano County,,California
648,Airport Road,Humboldt County,,California
649,Alemany Boulevard,,San Francisco,California
650,Celinda Place,Los Angeles County,Los Angeles,California
651,Sivers Lane,Nevada County,,California
652,South Ridge Drive,San Diego County,,California
653,Granada Drive,Sonoma County,Santa Rosa,California
654,Deschutes Road,Shasta County,,California
655,Tenaya Avenue,Fresno County,,California
656,Montalvo Way,Riverside County,Palm Springs,California
657,Idyllwild Drive,Riverside County,San Jacinto,California
658,CA 70,Yuba County,,California
659,Loma Avenue,Los Angeles County,,California
660,Marlton Avenue,Los Angeles County,Los Angeles,California
661,Hazeltine Avenue,Los Angeles County,Los Angeles,California
662,Aptos Court,Alameda County,,California
663,Petaluma Avenue,Los Angeles County,Long Beach,California
664,9th Avenue,Alameda County,Oakland,California
665,Gibraltar Road,Santa Barbara County,Santa Barbara,California
666,Valley View Street,Fresno County,,California
667,Edinger Avenue,Orange County,Huntington Beach,California
668,I 110 North,Los Angeles County,Los Angeles,California
669,Dronfield Avenue,Los Angeles County,Los Angeles,California
670,Louisburg Street,,San Francisco,California
671,Washington Avenue,Merced County,,California
672,Bartlett Avenue,Los Angeles County,,California
673,East G Street,Stanislaus County,Oakdale,California
674,Magnolia Place,Los Angeles County,Los Angeles,California
675,Highway 94,San Diego County,,California
676,Charles Avenue,San Joaquin County,Manteca,California
677,Wildwood Avenue,Placer County,,California
678,Riverside Freeway,Riverside County,Corona,California
679,Echo Park Avenue,Los Angeles County,Los Angeles,California
680,West Sierra Avenue,Fresno County,Fresno,California
681,Via del Prado,Los Angeles County,Calabasas,California
682,Albers Street,Los Angeles County,Los Angeles,California
683,Edinger Avenue,Orange County,Huntington Beach,California
684,Glendon Avenue,Los Angeles County,Los Angeles,California
685,Caldwell Place,San Bernardino County,Ontario,California
686,Park Boulevard,Alameda County,Oakland,California
687,East Road,Lake County,,California
688,Foothill Boulevard,Los Angeles County,Glendale,California
689,Lakeview Canyon Road,Los Angeles County,,California
690,Knox Street,Los Angeles County,,California
691,Creston Road,San Luis Obispo County,,California
692,Riviera Avenue,Los Angeles County,Los Angeles,California
693,Chapel Avenue,Los Angeles County,,California
694,North la Esperanza,Orange County,San Clemente,California
695,Ney Avenue,Alameda County,Oakland,California
696,Main Street,Alameda County,Hayward,California
697,West 7th Street,Los Angeles County,Los Angeles,California
698,42nd Street Mission Way Alley,Sacramento County,Sacramento,California
699,Ardmore Avenue,Los Angeles County,Glendale,California
700,San Diego Freeway,Los Angeles County,Torrance,California
701,Oceana Drive,Marin County,,California
702,Northridge Drive,Monterey County,,California
703,Freeman Avenue,Los Angeles County,,California
704,Gala Avenue,San Diego County,San Diego,California
705,,Ventura County,Oxnard,California
706,Arbor Street,Los Angeles County,Pasadena,California
707,Leatha Way,Sacramento County,,California
708,The Villages Parkway,Santa Clara County,San Jose,California
709,Ocean Park Place South,Los Angeles County,Santa Monica,California
710,North Riverside Avenue,San Bernardino County,,California
711,Educational Park Drive,Santa Clara County,San Jose,California
712,West Tulare Avenue,Tulare County,Visalia,California
713,Nevada Avenue,Los Angeles County,Los Angeles,California
714,Ohio Street,Riverside County,Riverside,California
715,Cabrillo Highway,San Mateo County,,California
716,Neptune Avenue,Los Angeles County,Carson,California
717,Ivy Street,San Mateo County,San Mateo,California
718,Enadia Way,Los Angeles County,Los Angeles,California
719,South Locust Circle,Los Angeles County,,California
720,Freeman Court,Santa Cruz County,,California
721,Laurel Drive,Monterey County,,California
722,Washington Avenue,Shasta County,Shasta Lake,California
723,Kenosha Avenue,San Diego County,San Diego,California
724,Milton Avenue,Los Angeles County,,California
725,Friars Road,San Diego County,San Diego,California
726,Grand Avenue,San Diego County,San Diego,California
727,Mariposa Avenue,Alameda County,Oakland,California
728,61st Avenue,Alameda County,Oakland,California
729,West Orchard Court,Tulare County,Visalia,California
730,Cardiff Court,Alameda County,,California
731,Division Street,Los Angeles County,Lancaster,California
732,North Boden Drive,Orange County,Anaheim,California
733,,San Bernardino County,,California
734,East 66th Street,Los Angeles County,Los Angeles,California
735,Pontiac Drive,San Diego County,Carlsbad,California
736,San Gabriel River Trail,Los Angeles County,,California
737,Spruce Circle,Santa Cruz County,,California
738,Walnut Street,Los Angeles County,,California
739,San Diego Freeway,Los Angeles County,,California
740,Negley Drive,San Diego County,San Diego,California
741,Dardanelles Trail,El Dorado County,,California
742,Garfield Avenue,Kern County,Bakersfield,California
743,Village Road,Stanislaus County,Modesto,California
744,Columbus Avenue,,San Francisco,California
745,Braga Lane,Contra Costa County,,California
746,Buena Vista Avenue,Contra Costa County,Walnut Creek,California
747,Humboldt Avenue,Alameda County,Oakland,California
748,30th Street,San Diego County,San Diego,California
749,Grove Shafter Freeway,Alameda County,Oakland,California
750,Road 203,Tulare County,,California
751,Whittier Boulevard,Los Angeles County,,California
752,West Harvard Street,Orange County,Santa Ana,California
753,West 47th Place,Los Angeles County,Los Angeles,California
754,John F Foran Freeway,,San Francisco,California
755,North Lincoln Street,San Joaquin County,Stockton,California
756,Parrish Court,Santa Clara County,San Jose,California
757,Mulholland Drive,Los Angeles County,Los Angeles,California
758,Meyers Street,Placer County,,California
759,Hilltop,Orange County,Irvine,California
760,Wilson Avenue,Marin County,,California
761,Country Club Heights,Monterey County,,California
762,Kingbee Street,Los Angeles County,Downey,California
763,United Street,Kern County,,California
764,Glendon Avenue,Los Angeles County,Los Angeles,California
765,Jeffries Avenue,Los Angeles County,,California
766,West 227th Street,Los Angeles County,Los Angeles,California
767,Creekwood Drive,Stanislaus County,Modesto,California
768,Cherokee Lane,San Joaquin County,Lodi,California
769,West Manchester Avenue,Los Angeles County,Los Angeles,California
770,Montego Bay Circle,Riverside County,,California
771,West 65th Place,Los Angeles County,Los Angeles,California
772,Big Canyon Street,Riverside County,Indio,California
773,Pio Pico Drive,San Diego County,Carlsbad,California
774,Panorama Drive,Kern County,Bakersfield,California
775,2nd Avenue,,San Francisco,California
776,,Fresno County,,California
777,Miranda Lane,Riverside County,,California
778,San Miguelito Road,Santa Barbara County,,California
779,Cleveland Avenue,San Diego County,,California
780,Terrace Way,Kern County,City of Bakersfield,California
781,East Briggsmore Avenue,Stanislaus County,Modesto,California
782,Cesar E Chavez Avenue,Los Angeles County,,California
783,Riata Street,Orange County,,California
784,Crestview Terrace,Santa Cruz County,Santa Cruz,California
785,Ainsworth Street,Los Angeles County,Los Angeles,California
786,East 61st Street,Los Angeles County,,California
787,Pepper Drive,San Diego County,El Cajon,California
788,South Norma Lane,Orange County,Anaheim,California
789,,Glenn County,,California
790,Jarvis Avenue,Santa Clara County,San Jose,California
791,Cerritos Avenue,Orange County,Stanton,California
792,West F Street,San Bernardino County,Ontario,California
793,Cedar Avenue,San Diego County,Chula Vista,California
794,Roca Road,San Diego County,Chula Vista,California
795,San Gabriel River Trail,Los Angeles County,,California
796,East 115th Street,Los Angeles County,Los Angeles,California
797,Birch Street,Solano County,Vacaville,California
798,South Mellon Avenue,San Joaquin County,Manteca,California
799,Coolidge Street,San Diego County,San Diego,California
800,West Manchester Avenue,Los Angeles County,Los Angeles,California
801,East F Street,San Bernardino County,Ontario,California
802,West 58th Street,Los Angeles County,Los Angeles,California
803,East 14th Street,Alameda County,,California
804,Pine Ridge,Placer County,,California
805,Bicycle and Foot Path,San Diego County,San Diego,California
806,Alderwood Way,Solano County,Vacaville,California
807,Lurline Avenue,Colusa County,,California
808,West Washington Boulevard,Los Angeles County,Los Angeles,California
809,South K Street,Ventura County,Oxnard,California
810,Root Street,San Diego County,San Diego,California
811,Cathy Way,Alameda County,Hayward,California
812,Lynx Trail,El Dorado County,,California
813,Estrella Avenue,San Diego County,San Diego,California
814,del Amo Fashion Square,Los Angeles County,Torrance,California
815,,Placer County,,California
816,Saturn Street,Orange County,,California
817,McFarland Street,Sacramento County,,California
818,Corte Soledad,Monterey County,Monterey,California
819,Sievers Road,Solano County,,California
820,East Avenue R 14,Los Angeles County,Palmdale,California
821,Chumash Trail,Ventura County,Simi Valley,California
822,West El Camino Real,San Mateo County,Redwood City,California
823,Mission Street,,San Francisco,California
